genre,company,year,title,count
f48,Animation,Walt Disney Feature Animation,1995,Pocahontas,1509
f49,Romance,Alliance Communications Corporation,1995,When Night Is Falling,10
f50,Thriller,Blue Parrot Productions,1995,The Usual Suspects,3334
f51,Thriller,,1994,Guardian Angel,3
f52,Romance,Magnolia Pictures,1995,Mighty Aphrodite,145
f53,Foreign,,1994,Lamerica,11
f54,Adventure,Caravan Pictures,1995,The Big Green,41
f55,Drama,CiBy 2000,1995,Georgia,15
f56,,Telefilm Canada,1997,Kids of the Round Table,1
f57,Comedy,PolyGram Filmed Entertainment,1995,Home for the Holidays,39
f58,Comedy,,1994,The Postman,181
f59,Drama,,1995,The Confessional,2
f60,Fantasy,Columbia Pictures Corporation,1995,The Indian in the Cupboard,136
f61,Thriller,Paramount Pictures,1996,Eye for an Eye,65
f62,Drama,PolyGram Filmed Entertainment,1995,Mr. Holland's Opus,115
f63,Comedy,Island Pictures,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192
f64,Comedy,Warner Bros.,1996,Two If by Sea,14
f65,Comedy,3 Arts Entertainment,1996,Bio-Dome,110
f66,Action,New Line Cinema,1996,Lawnmower Man 2: Beyond Cyberspace,32
f67,Family,Miramax Films,1995,Two Bits,11
f68,Romance,TF1 Films Production,1995,French Twist,43
f69,Comedy,New Line Cinema,1995,Friday,513
f70,Horror,Los Hooligans Productions,1996,From Dusk Till Dawn,1644
f71,Action,Silver Pictures,1995,Fair Game,54
f72,Comedy,Sandollar Productions,1995,Kicking and Screaming,36
f73,Drama,TF1,1995,Les Miserables,8
f74,Drama,New Line Cinema,1996,Bed of Roses,27
f75,Family,Warner Bros.,1996,Big Bully,16
f76,Horror,Fuji Eight Company Ltd.,1995,Screamers,154
f77,Documentary,Ciak Filmproduktion,1995,Nico Icon,3
f78,Drama,Miramax Films,1995,The Crossing Guard,74
f79,Thriller,Columbia Pictures Corporation,1996,The Juror,91
f80,Drama,Ferdos Films,1995,The White Balloon,20
f81,Drama,Miramax Films,1995,Things to Do in Denver When You're Dead,87
f82,Drama,Bard Entertainments,1995,Antonia's Line,26
f83,Drama,BET Pictures,1996,Once Upon a Time... When We Were Colored,2
f84,,,1995,Last Summer in the Hamptons,0
f85,Romance,The Samuel Goldwyn Company,1995,Angels and Insects,17
f86,Drama,Hollywood Pictures,1996,White Squall,86
f87,Comedy,Joe Wizan/Todd Black,1996,Dunston Checks In,59
f88,Comedy,Paramount Pictures,1996,Black Sheep,124
f89,Crime,Paramount Pictures,1995,Nick of Time,190
f90,Drama,Addis Wechsler Pictures,1995,The Journey of August King,3
f91,Horror,NFH Productions,1996,Mary Reilly,77
f92,Horror,Paramount Pictures,1995,Vampire in Brooklyn,113
f93,Comedy,Miramax Films,1996,Beautiful Girls,103
f94,Adventure,Mark Gordon Productions,1996,Broken Arrow,459
f95,Comedy,Midwinter Films,1995,A Midwinter's Tale,6
f96,Drama,Egg Pictures,1995,La Haine,695
f97,Action,Channel Four Films,1994,Shopping,13
f98,Documentary,Canadian Broadcasting Corporation (CBC),1995,Heidi Fleiss: Hollywood Madam,4
f99,Drama,Castle Rock Entertainment,1996,City Hall,67
f100,Crime,Columbia Pictures Corporation,1996,Bottle Rocket,285
f101,Comedy,Touchstone Pictures,1996,Mr. Wrong,16
f102,Thriller,Dino De Laurentiis Company,1996,Unforgettable,22
f103,Comedy,Robert Simonds Productions,1996,Happy Gilmore,767
f104,Romance,Malpaso Productions,1995,The Bridges of Madison County,397
f105,Comedy,,1994,Nobody Loves Me,5
f106,Music,Jim Henson Company The,1996,Muppet Treasure Island,93
f107,Documentary,,1995,Catwalk,2
f108,Crime,,1995,Headless Body in Topless Bar,0
f109,History,The Ladd Company,1995,Braveheart,3404
f110,Crime,Italo/Judeo Productions,1976,Taxi Driver,2632
f111,Thriller,Golden Harvest Company,1995,Rumble in the Bronx,245
f112,Thriller,Caravan Pictures,1996,Before and After,37
f113,Drama,Glace Bay Pictures,1995,Margaret's Museum,2
f114,Comedy,StudioCanal,1995,Happiness Is in the Field,23
f115,Drama,,1995,Anne Frank Remembered,4
f116,Comedy,Bavaria Film and Television Fund,1995,The Young Poisoner's Handbook,19
f117,Comedy,TriStar Pictures,1996,If Lucy Fell,11
f118,Drama,Savoy Pictures,1995,Steal Big Steal Little,7
f119,Action,TriStar Pictures,1996,Race the Sun,21
f120,Drama,,1992,The Boys of St. Vincent,7
f121,Comedy,Paramount Pictures,1992,Boomerang,139
f122,Drama,Jet Tone Production,1994,Chungking Express,249
f123,Romance,Cecchi Gori Group Tiger Cinematografica,1995,The Star Maker,29
f124,Romance,Miramax Films,1996,Flirting with Disaster,66
f125,Fantasy,Studio Babelsberg,1994,The Neverending Story III: Escape from Fantasia,105
f126,Drama,Cinétéléfilms,1994,The Silences of the Palace,3
f127,,,1995,Jupiter's Wife,0
f128,Comedy,,1996,Pie in the Sky,2
f129,Comedy,,1995,Angela,9
f130,Romance,Canal+,1995,Frankie Starlight,4
f131,Romance,Paramount Pictures,1995,Jade,45
f132,Romance,D'Pelicula,1995,Nueba Yol,1
f133,Documentary,,1995,Sonic Outlaws,0
f134,Comedy,Twentieth Century Fox Film Corporation,1996,Down Periscope,110
f135,Documentary,Couch Potatoe Productions,1995,From the Journals of Jean Seberg,2
f136,Comedy,,1995,Man of the Year,2
f137,Drama,Channel Four Films,1995,The Neon Bible,5
f138,,,1995,Target,0
f139,Romance,Touchstone Pictures,1996,Up Close & Personal,51
f140,Comedy,United Artists,1996,The Birdcage,303
f141,Drama,,1995,Virgin Mary,2
f142,Comedy,Fox Searchlight Pictures,1995,The Brothers McMullen,23
f143,Crime,Columbia Pictures,1995,Bad Boys,1729
f144,Family,Warner Bros.,1995,The Amazing Panda Adventure,31
f145,Drama,Island Pictures,1995,The Basketball Diaries,472
f146,Drama,British Screen Productions,1995,An Awfully Big Adventure,11
f147,Thriller,American Playhouse,1994,Amateur,21
f148,Drama,Imagine Entertainment,1995,Apollo 13,1637
f149,Adventure,Talisman Productions,1995,Rob Roy,151
f150,Horror,Fastnet Films,1995,The Addiction,46
f151,Crime,Warner Bros.,1995,Batman Forever,1529
f152,Drama,Paris Films Productions,1967,Belle de Jour,163
f153,Drama,Columbia Pictures,1995,Beyond Rangoon,21
f154,Comedy,Miramax Films,1995,Blue in the Face,28
f155,Action,PolyGram Filmed Entertainment,1995,Canadian Bacon,57
f156,Comedy,The Harvey Entertainment Company,1995,Casper,1045
f157,Drama,40 Acres & A Mule Filmworks,1995,Clockers,69
f158,Science Fiction,Kennedy/Marshall Company The,1995,Congo,214
f159,Thriller,Hollywood Pictures,1995,Crimson Tide,508
f160,Documentary,Superior Pictures,1994,Crumb,71
f161,Thriller,Columbia Pictures,1995,Desperado,898
f162,Mystery,Mundy Lane Entertainment,1995,Devil in a Blue Dress,88
f163,Action,Cinergi Pictures Entertainment,1995,Die Hard: With a Vengeance,2094
f164,Action,The Teen Angst Movie Company,1995,The Doom Generation,57
f165,Crime,Touchstone Pictures,1995,Feast of July,0
f166,Action,Columbia Pictures Corporation,1995,First Knight,319
f167,Adventure,Alcor Films,1995,Free Willy 2 - The Adventure Home,130
f168,Crime,Suftley,1995,Hackers,406
f169,Romance,Workin' Man Films,1995,Jeffrey,19
f170,Action,Alliance Communications Corporation,1995,Johnny Mnemonic,380
f171,Science Fiction,Cinergi Pictures Entertainment,1995,Judge Dredd,643
f172,Comedy,TriStar Pictures,1995,Jury Duty,34
f173,Crime,Miramax Films,1995,Kids,280
f174,Comedy,JDI productions,1995,Living in Oblivion,64
f175,Mystery,United Artists,1995,Lord of Illusions,87
f176,Drama,Max Films Productions,1993,Love & Human Remains,7
f177,Romance,Touchstone Pictures,1995,Mad Love,27
f178,Comedy,View Askew Productions,1995,Mallrats,400
f179,Action,Saban Entertainment,1995,Mighty Morphin Power Rangers: The Movie,153
f180,Romance,PolyGram Filmed Entertainment,1995,Moonlight and Valentino,10
f181,Foreign,Avrora Media,1995,Mute Witness,36
f182,Horror,Kino Link Company,1994,Nadja,12
f183,Drama,Columbia Pictures,1995,The Net,359
f184,Comedy,Twentieth Century Fox Film Corporation,1995,Nine Months,171
f185,Comedy,Party Productions,1995,Party Girl,14
f186,Fantasy,Dimension Films,1995,The Prophecy,139
f187,Fantasy,Samuel Goldwyn Company The,1995,Reckless,1
f188,Drama,Killer Films,1995,Safe,62
f189,Romance,Hollywood Pictures,1995,The Scarlet Letter,111
f190,Documentary,,1995,The Show,2
f191,Drama,United Artists,1995,Showgirls,261
f192,Comedy,Miramax Films,1995,Smoke,115
f193,Comedy,Spring Creek Productions,1995,Something to Talk About,60
f194,Science Fiction,Metro-Goldwyn-Mayer (MGM),1995,Species,457
f195,Drama,Malpaso Productions,1995,The Stars Fell on Henrietta,6
f196,Thriller,Lightstorm Entertainment,1995,Strange Days,334
f197,Drama,Parc Film,1964,The Umbrellas of Cherbourg,119
f198,Thriller,PolyGram Filmed Entertainment,1995,The Tie That Binds,9
f199,Drama,Savoy Pictures,1995,Three Wishes,18
f200,Romance,FIT Productions,1995,Total Eclipse,112
f201,Comedy,Universal Pictures,1995,To Wong Foo Thanks for Everything! Julie Newmar,117
f202,Action,Warner Bros.,1995,Under Siege 2: Dark Territory,217
f203,Drama,Hollywood Pictures,1995,Unstrung Heroes,9
f204,Documentary,,1995,Unzipped,6
f205,Drama,Zucker Brothers Productions,1995,A Walk in the Clouds,168
f206,Action,Gordon Company,1995,Waterworld,1017
f207,Drama,Rysher Entertainment,1995,White Man's Burden,25
f208,Western,United Artists,1995,Wild Bill,27
f209,Drama,Paramount Pictures,1994,The Browning Version,11
f210,Comedy,Twentieth Century Fox Film Corporation,1995,Bushwhacked,29
f211,Drama,Canal+,1994,Burnt by the Sun,35
f212,Drama,PolyGram Audiovisuel,1994,Before the Rain,45
f213,Romance,Detour Film Production,1995,Before Sunrise,984
f214,Comedy,Jack Giarraputo Productions,1995,Billy Madison,464
f215,Drama,Spelling Films International,1995,The Babysitter,27
f216,Drama,Hera Productions,1995,Boys on the Side,48
f217,Drama,Universal Pictures,1995,The Cure,58
f218,Horror,Full Moon Entertainment,1995,Castle Freak,40
f219,Romance,Price Entertainment,1995,Circle of Friends,30
f220,Comedy,Miramax Films,1994,Clerks,769
f221,Comedy,New Line Cinema,1994,Don Juan DeMarco,184
f222,Thriller,Baltimore Pictures,1994,Disclosure,217
f223,Thriller,Keystone Pictures,1995,Dream Man,1
f224,Adventure,Paramount Pictures,1994,Drop Zone,91
f225,Fantasy,Rysher Entertainment,1995,Destiny Turns on the Radio,9
f226,Thriller,Flach Film,1994,Death and the Maiden,92
f227,Mystery,Columbia Pictures Corporation,1995,Dolores Claiborne,183
f228,Comedy,Motion Picture Corporation of America (MPCA),1994,Dumb and Dumber,1894
f229,Comedy,Central Motion Pictures,1994,Eat Drink Man Woman,76
f230,Mystery,Alliance Entertainment,1994,Exotica,64
f231,Crime,Savoy Pictures,1994,Exit to Eden,28
f232,History,Touchstone Pictures,1994,Ed Wood,639
f233,Comedy,PolyGram Filmed Entertainment,1995,French Kiss,179
f234,Romance,Castle Rock Entertainment,1995,Forget Paris,38
f235,Action,Twentieth Century Fox Film Corporation,1995,Far from Home: The Adventures of Yellow Dog,27
f236,Comedy,Walt Disney Pictures,1995,A Goofy Movie,404
f237,Drama,TriStar Pictures,1995,Hideaway,24
f238,Fantasy,Metro-Goldwyn-Mayer,1995,Fluke,48
f239,Drama,MG,1994,Farinelli,20
f240,Fantasy,,1995,Gordy,4
f241,Fantasy,,1995,Gumby: The Movie,2
f242,Thriller,Miramax Films,1994,The Glass Shield,9
f243,Documentary,Kartemquin Films,1994,Hoop Dreams,91
f244,Drama,Miramax Films,1994,Heavenly Creatures,299
f245,Family,Hollywood Pictures,1995,Houseguest,17
f246,Drama,Columbia Pictures,1994,Immortal Beloved,90
f247,Family,Caravan Pictures,1995,Heavyweights,97
f248,Action,Universal Pictures,1995,The Hunted,25
f249,Comedy,Paramount Pictures,1994,I.Q.,112
f250,Romance,Geffen Pictures,1994,Interview with the Vampire,1558
f251,Drama,Merchant Ivory Productions,1995,Jefferson in Paris,10
f252,Comedy,Caravan Pictures,1995,The Jerky Boys,10
f253,Romance,Universal Pictures,1994,Junior,381
f254,Mystery,Lee Rich Productions,1995,Just Cause,124
f255,Family,Walt Disney Pictures,1995,A Kid in King Arthur's Court,40
f256,Action,Twentieth Century Fox Film Corporation,1995,Kiss of Death,83
f257,Adventure,Twentieth Century Fox Film Corporation,1977,Star Wars,6778
f258,Romance,Columbia Pictures,1994,Little Women,222
f259,Drama,Warner Bros.,1995,A Little Princess,207
f260,Drama,Parallax Pictures,1994,Ladybird Ladybird,14
f261,Drama,MK2 Productions,1994,L'Enfer,22
f262,Romance,Aviacsa,1992,Like Water for Chocolate,70
f263,Adventure,Bedford Falls Productions,1994,Legends of the Fall,636
f264,Comedy,Universal Pictures,1995,Major Payne,164
f265,Drama,Fine Line Features,1994,Little Odessa,31
f266,Drama,Cineville,1994,Mi Vida Loca,9
f267,Drama,Warner Bros.,1994,Love Affair,11
f268,Drama,Paramount Pictures,1995,Losing Isaiah,28
f269,Drama,Channel Four Films,1994,The Madness of King George,67
f270,Romance,American Zoetrope,1994,Mary Shelley's Frankenstein,272
f271,Action,Walt Disney Pictures,1995,Man of the House,40
f272,Comedy,TriStar Pictures,1994,Mixed Nuts,37
f273,Romance,The Kennedy/Marshall Company,1994,Milk Money,49
f274,Fantasy,Twentieth Century Fox Film Corporation,1994,Miracle on 34th Street,199
f275,Romance,Hollywood Pictures,1995,Miami Rhapsody,7
f276,Drama,American Zoetrope,1995,My Family,11
f277,Crime,Wolper Organization,1995,Murder in the First,140
f278,Drama,Cinehaus,1994,Nobody's Fool,56
f279,Drama,Egg Pictures,1994,Nell,128
f280,Crime,40 Acres & A Mule Filmworks,1995,New Jersey Drive,7
f281,Crime,Distant Justice Joint Venture,1993,New York Cop,0
f282,Horror,Metrodome Films,1994,Beyond Bedlam,4
f283,Action,Filmwerks,1995,Nemesis 2 - Nebula,10
f284,Romance,Triumph Films,1995,Nina Takes a Lover,4
f285,Crime,Alcor Films,1994,Natural Born Killers,927
f286,Drama,TriStar Pictures,1994,Only You,92
f287,Drama,New Zealand On Air,1994,Once Were Warriors,106
f288,Drama,MG Entertainment,1996,Poison Ivy II: Lily,32
f289,Action,Arnold Kopelson Productions,1995,Outbreak,522
f290,Crime,Gaumont,1994,Leon: The Professional,4293
f291,Drama,Samuel Goldwyn Company The,1995,The Perez Family,9
f292,Romance,Hollywood Pictures,1995,A Pyromaniac's Love Story,2
f293,Crime,Miramax Films,1994,Pulp Fiction,8670
f294,Drama,Gramercy Pictures (I),1995,Panther,6
f295,Comedy,Ang Lee Productions,1992,Pushing Hands,9
f296,Drama,Miramax,1994,Priest,32
f297,Drama,Hollywood Pictures,1994,Quiz Show,262
f298,History,Cecile Company,1995,Picture Bride,5
f299,History,Miramax,1994,Queen Margot,67
f300,Action,TriStar Pictures,1995,The Quick and the Dead,431
f301,Comedy,Hollywood Pictures,1995,Roommates,7
f302,Comedy,Miramax Films,1994,Prêt-à-Porter,33
f303,Drama,Télévision Suisse-Romande,1994,Three Colors: Red,246
f304,Mystery,France 3 Cinéma,1993,Three Colors: Blue,311
f305,Mystery,Eurimages,1994,Three Colors: White,218
f306,Drama,,1994,Red Firecracker Green Firecracker,2
f307,TV Movie,,1995,Rent-a-Kid,15
f308,Drama,west wind entertainment,1995,Relative Fear,3
f309,Comedy,Paramount Pictures,1995,Stuart Saves His Family,6
f310,Animation,Rich Animation Studios,1994,The Swan Princess,251
f311,Family,Jones Entertainment Group,1994,The Secret of Roan Inish,15
f312,Action,Iguana Producciones,1994,The Specialist,317
f313,Action,Carolco Entertainment,1994,Stargate,942
f314,Comedy,Hollywood Pictures,1994,The Santa Clause,501
f315,Crime,Castle Rock Entertainment,1994,The Shawshank Redemption,8358
f316,Crime,Channel Four Films,1994,Shallow Grave,247
f317,Drama,Kino Korsakoff,1993,Suture,7
f318,Drama,TeleMadrid,1993,Strawberry and Chocolate,16
f319,Crime,Cineville,1994,Swimming with Sharks,104
f320,Drama,Samuel Goldwyn Company,1994,The Sum of Us,21
f321,Comedy,MHA,1995,Senior Trip,23
f322,War,Era International Ltd,1994,To Live,62
f323,Action,Trilogy Entertainment Group,1995,Tank Girl,140
f324,Thriller,Tales From The Crypt Holdings,1995,Tales from the Crypt: Demon Knight,96
f325,Adventure,Paramount Pictures,1994,Star Trek: Generations,461
f326,Crime,40 Acres & A Mule Filmworks,1995,Tales from the Hood,33
f327,Romance,,1994,Tom & Viv,8
f328,Horror,Universal Pictures,1995,Village of the Damned,165
f329,Comedy,Paramount Pictures,1995,Tommy Boy,321
f330,Drama,Sony Pictures Classics,1994,Vanya on 42nd Street,15
f331,Crime,Populist Pictures,1995,The Underneath,15
f332,War,Jackson/McHenry CompanyThe,1995,The Walking Dead,4
f333,Romance,Paramount Pictures,1993,What's Eating Gilbert Grape,943
f334,Thriller,Paramount Pictures,1995,Virtuosity,163
f335,Comedy,Caravan Pictures,1995,While You Were Sleeping,340
f336,Drama,Universal Pictures,1994,The War,39
f337,Comedy,Fine Line Features,1994,Double Happiness,2
f338,Romance,Film Victoria,1994,Muriel's Wedding,104
f339,Family,Beacon Pictures,1995,The Baby-Sitters Club,23
f340,Comedy,Morgan Creek Productions,1994,Ace Ventura: Pet Detective,1684
f341,Comedy,PolyGram Filmed Entertainment,1994,The Adventures of Priscilla Queen of the Desert,174
f342,Music,Gramercy Pictures,1994,Backbeat,37
f343,Drama,Fine Line Features,1992,Bitter Moon,115
f344,Thriller,Miramax Films,1994,Bullets Over Broadway,130
f345,Drama,Paramount Pictures,1994,Clear and Present Danger,390
f346,Thriller,Warner Bros.,1994,The Client,287
f347,Comedy,New Line Cinema,1994,Corrina Corrina,83
f348,Drama,Universal Pictures,1994,Crooklyn,31
f349,Action,Edward R. Pressman Film,1994,The Crow,980
f350,Drama,Regency Enterprises,1994,Cobb,29
f351,Fantasy,Amblin Entertainment,1994,The Flintstones,559
f352,Drama,Paramount Pictures,1994,Forrest Gump,8147
f353,Romance,PolyGram Filmed Entertainment,1994,Four Weddings and a Funeral,654
f354,Drama,Columbia Pictures Corporation,1995,Higher Learning,49
f355,Comedy,Think Again Productions,1994,I Like It Like That,4
f356,Comedy,Touchstone Pictures,1994,I Love Trouble,41
f357,Romance,TriStar Pictures,1994,It Could Happen to You,154
f358,Adventure,,1994,The Jungle Book,107
f359,Foreign,Omega Film GmbH,1993,The Wonderful Horrible Life of Leni Riefenstahl,5
f360,Animation,Walt Disney Pictures,1994,The Lion King,5520
f361,Drama,Miramax Films,1993,Little Buddha,76
f362,Horror,New Line Cinema,1994,New Nightmare,297
f363,Fantasy,New Line Cinema,1994,The Mask,2550
f364,Action,Warner Bros.,1994,Maverick,490
f365,Drama,Fine Line Features,1994,Mrs. Parker and the Vicious Circle,20
f366,Comedy,Paramount Pictures,1994,The Naked Gun 33⅓: The Final Insult,535
f367,Comedy,Imagine Entertainment,1994,The Paper,40
f368,Drama,Jersey Films,1994,Reality Bites,180
f369,Drama,PolyGram Filmed Entertainment,1993,Red Rock West,71
f370,Family,Davis Entertainment,1994,Richie Rich,426
f371,Drama,New Line Cinema,1994,Safe Passage,7
f372,Adventure,Turman-Foster Company,1994,The River Wild,214
f373,Action,Twentieth Century Fox Film Corporation,1994,Speed,1814
f374,Romance,Metro-Goldwyn-Mayer (MGM),1994,Speechless,24
f375,Science Fiction,Signature Pictures,1994,Timecop,288
f376,Thriller,Lightstorm Entertainment,1994,True Lies,1138
f377,Romance,Touchstone Pictures,1994,When a Man Loves a Woman,71
f378,Fantasy,Columbia Pictures,1994,Wolf,221
f379,Drama,Warner Bros.,1994,Wyatt Earp,203
f380,Romance,Touchstone Pictures,1995,Bad Company,12
f381,Drama,Majestic Films International,1994,A Man of No Importance,2
f382,Drama,Gramercy Pictures,1994,S.F.W.,22
f383,Action,Hollywood Pictures,1994,A Low Down Dirty Shame,31
f384,Drama,Strand Releasing,1994,Boys Life: Three Stories of Love Lust and Liberation,1
f385,Drama,,1994,Colonel Chabert,9
f386,Crime,Eve Productions Inc.,1965,Faster Pussycat! Kill! Kill!,59
f387,Drama,,1994,Jason's Lyric,9
f388,Animation,Bolex Brothers,1993,The Secret Adventures of Tom Thumb,8
f389,Thriller,Universal Pictures,1994,Street Fighter,330
f390,Action,Motion Picture Corporation of America (MPCA),1995,Coldblooded,13
f391,,,1997,Desert Winds,0
f392,Drama,Capitol Films,1995,Fall Time,6
f393,Thriller,Devin Entertainment,1995,The Fear,7
f394,Documentary,Walt Disney Pictures,1995,Frank and Ollie,4
f395,Romance,Overseas FilmGroup,1995,Girl in the Cadillac,1
f396,Thriller,Skyline Entertainment Partners,1995,Homage,0
f397,Action,,1995,Mirage,1
f398,Comedy,Frozen Rope Productions Inc.,1996,Open Season,0
f399,,,1995,Dos Crímenes,1
f400,Documentary,,1995,Brother Minister: The Assassination of Malcolm X,1
f401,Science Fiction,Lumière Pictures,1994,Highlander: The Final Dimension,110
f402,,,1995,Federal Hill,2
f403,Horror,New Line Cinema,1994,In the Mouth of Madness,307
f404,Drama,New Line Cinema,1994,8 Seconds,22
f405,Drama,New Line Cinema,1994,Above the Rim,40
f406,Fantasy,Scott Rudin Productions,1993,Addams Family Values,537
f407,Comedy,HBO Independent Productions,1994,Martin Lawrence: You So Crazy,4
f408,Drama,Columbia Pictures,1993,The Age of Innocence,172
f409,Crime,Twentieth Century Fox Film Corporation,1994,Airheads,222
f410,Comedy,Hollywood Pictures,1994,The Air Up There,42
f411,Comedy,Touchstone Pictures,1993,Another Stakeout,58
f412,Western,Ruddy Morgan Organization The,1994,Bad Girls,61
f413,Romance,Barcelona Films,1994,Barcelona,20
f414,Fantasy,Fujisankei,1994,Being Human,15
f415,Comedy,Twentieth Century Fox Film Corporation,1993,The Beverly Hillbillies,86
f416,Crime,Eddie Murphy Productions,1994,Beverly Hills Cop III,445
f417,Adventure,Warner Bros.,1994,Black Beauty,68
f418,Crime,New Line Cinema,1994,Blink,45
f419,Thriller,Metro-Goldwyn-Mayer (MGM),1994,Blown Away,126
f420,Drama,Paramount Pictures,1994,Blue Chips,41
f421,Romance,Orion Pictures Corporation,1994,Blue Sky,28
f422,Thriller,Dorset Productions,1993,Body Snatchers,102
f423,Drama,Mainline Pictures,1993,Boxing Helena,59
f424,Drama,Savoy Pictures,1993,A Bronx Tale,447
f425,Comedy,Touchstone Pictures,1994,Cabin Boy,28
f426,Comedy,Parkway Productions,1993,Calendar Girl,10
f427,Action,Bregman/Baer Productions,1993,Carlito's Way,805
f428,Comedy,Castle Rock Entertainment,1994,City Slickers II: The Legend of Curly's Gold,103
f429,Mystery,Metro-Goldwyn-Mayer (MGM),1994,Clean Slate,25
f430,Thriller,TriStar Pictures,1993,Cliffhanger,600
f431,Science Fiction,Paramount Pictures,1993,Coneheads,228
f432,Thriller,Hollywood Pictures,1994,Color of Night,117
f433,Family,TriStar Pictures,1994,Cops & Robbersons,36
f434,Action,Imagine Entertainment,1994,The Cowboy Way,38
f435,Drama,Metro-Goldwyn-Mayer (MGM),1993,Dangerous Game,9
f436,Comedy,Northern Lights Entertainment,1993,Dave,205
f437,Drama,Alphaville Productions,1993,Dazed and Confused,588
f438,Crime,Warner Bros.,1993,Demolition Man,1018
f439,Documentary,,1994,The Endless Summer 2,12
f440,Romance,Fine Line Features,1994,Even Cowgirls Get the Blues,29
f441,Comedy,Metro-Goldwyn-Mayer (MGM),1993,Fatal Instinct,37
f442,Drama,Maverick Picture Company,1993,Farewell My Concubine,98
f443,Comedy,Orion Pictures,1994,The Favor,6
f444,Drama,Warner Bros.,1993,Fearless,80
f445,Comedy,,1994,Fear of a Black Hat,11
f446,Drama,Warner Bros.,1994,With Honors,54
f447,Drama,Mirage,1993,Flesh and Bone,22
f448,Thriller,Fine Line Features,1994,Widows' Peak,3
f449,Romance,Universal Studios,1993,For Love or Money,77
f450,Drama,Mirage Enterprises,1993,The Firm,513
f451,Family,Regency Enterprises,1993,Free Willy,429
f452,Drama,Miramax Films,1994,Fresh,56
f453,Adventure,Warner Bros.,1993,The Fugitive,1240
f454,Action,Columbia Pictures,1993,Geronimo: An American Legend,44
f455,Drama,Universal Pictures,1994,The Getaway,81
f456,Family,Metro-Goldwyn-Mayer (MGM),1994,Getting Even with Dad,43
f457,Romance,Killer Films,1994,Go Fish,5
f458,Drama,Gramercy Pictures,1994,A Good Man in Africa,11
f459,Thriller,Hollywood Pictures,1993,Guilty as Sin,21
f460,Thriller,Universal Pictures,1993,Hard Target,237
f461,Action,Regency Enterprises,1993,Heaven & Earth,51
f462,Comedy,Sidley Wright & Associates,1993,Hot Shots! Part Deux,463
f463,Comedy,Republic Pictures (II),1995,Live Nude Girls,12
f464,Romance,Miramax Films,1995,The Englishman Who Went Up a Hill But Came Down a Mountain,83
f465,Romance,Spring Creek Productions,1993,The House of the Spirits,135
